Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
448000,75.041771,81.602767,86.179452,84.333127,89.918362,91.494383,82.274438,94.821715,93.055839,68.466605,77.066536,76.784750,77.863892,81.527082,82.661258,72.649265,80.894436,84.949118,67.103203,72.561923,74.017934,74.389126,80.395932,78.296374,72.193135,78.852844,82.596777,71.428210,74.855222,77.683799,78.887246,81.687705,80.058440,76.239355,82.266830,85.982490
512000,76.715739,83.007052,87.492468,85.353392,91.219613,93.233261,84.291648,96.765462,94.534772,69.705940,78.403921,78.653878,78.022408,82.933388,83.333099,74.515295,83.109247,86.924780,68.679966,73.690938,75.578216,75.979576,82.284868,79.886275,73.175372,80.481024,84.464301,72.817752,76.293350,78.856697,79.279943,83.839645,82.145060,77.344760,84.340161,88.424409
576000,77.730861,83.095189,87.946585,85.980210,92.445134,94.432522,85.140099,97.068910,95.432047,70.171703,79.769250,79.243820,79.801968,84.671780,84.812425,75.265890,83.720635,87.712394,68.927525,75.572522,76.960390,76.971335,83.952284,80.665895,74.474903,81.218197,85.673968,73.588149,76.734031,79.678823,81.552975,85.446342,83.146330,78.328486,85.122356,89.497521
640000,78.122670,83.654966,88.306758,86.204297,93.037359,94.151396,85.581773,97.584849,95.781328,70.631818,80.207306,79.883006,80.588745,85.174319,85.366330,76.144417,84.134754,87.870359,68.893802,75.439854,77.347424,77.579354,84.361718,81.263600,74.553132,81.786526,86.035561,73.894596,77.196681,80.190340,81.342234,85.413902,83.224821,78.833178,85.419683,89.751477
1280000,84.899521,89.493662,93.550523,91.831135,98.041448,99.677750,94.747067,103.425164,102.489440,76.071864,86.751748,85.902646,86.598455,92.212336,91.946971,82.028798,91.034441,96.562021,74.296786,82.577034,83.947645,84.568767,91.579886,88.338848,80.751321,89.041598,95.294210,79.211407,82.920748,86.156027,87.071695,92.250737,90.991093,84.730422,91.864257,97.681452
1920000,94.171585,94.666429,97.578049,95.123905,101.375275,104.523466,104.327262,107.097177,104.425958,79.713116,90.505845,89.703335,90.111086,95.317127,95.618332,85.799461,95.028325,98.822627,78.351678,86.741715,87.982492,88.966549,96.013554,93.364034,85.214505,93.126734,98.463906,82.694468,86.936863,90.146350,90.937929,97.181679,93.838466,88.330768,96.137059,100.963980
2560000,102.836602,97.427472,99.340934,97.268128,104.508747,106.604538,112.371040,109.245222,107.746460,82.461330,93.326528,92.453020,93.600026,98.636306,99.219781,88.961863,98.290942,101.944363,80.901071,89.063658,90.769668,92.349511,99.558263,97.415956,87.979541,96.442556,101.548421,85.665815,89.504274,93.214967,94.878606,100.291985,97.686120,91.717600,99.074002,104.760874
3200000,109.113937,99.964017,101.318407,98.531227,106.904571,108.517724,118.195312,111.666429,110.349591,85.033133,95.198494,94.993228,95.881614,104.218884,101.755464,91.554259,100.669516,107.715208,83.570698,91.705569,93.355325,95.498077,102.383646,100.620341,91.221931,99.063172,104.562396,88.299122,92.365078,96.053591,97.567444,103.520624,100.919871,94.516312,102.222201,108.371733
3840000,115.059858,102.262417,103.856595,101.412073,109.486142,110.771397,124.530772,114.233304,116.183084,87.256750,99.534062,96.781459,98.549606,106.541728,103.719854,94.317527,102.484089,110.113862,85.981866,93.901749,95.538766,97.685756,104.003482,102.677981,93.582551,101.680945,106.758815,90.517671,94.571694,98.233547,99.434631,105.419315,103.490615,96.925858,104.767850,110.633006
4480000,118.051460,103.510557,105.617168,101.894473,111.983458,112.920196,126.643197,115.620074,117.366636,89.273640,99.264598,98.838881,100.724254,105.403521,105.636199,95.979026,104.564762,109.059295,87.751872,95.208360,97.584319,99.630362,106.461179,104.952406,95.279318,103.589476,108.471480,92.098807,95.941229,99.862781,102.058870,108.726611,105.622272,98.702349,107.062075,113.854763
