Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
128000,1.002375,1.009375,0.159500,0.166375,0.128062,0.135063,1.007250,0.165125,0.133750,0.164437,0.133000,0.133687,1.007250,0.165125,0.133750,0.164437,0.133000,0.133687,1.007250,0.165125,0.133750,0.164437,0.133000,0.133687,1.007250,0.165125,0.133750,0.164437,0.133000,0.133687,1.007250,0.165125,0.133750,0.164437,0.133000,0.133687
140800,1.002159,1.008977,0.159545,0.165966,0.127784,0.134602,1.006591,0.164659,0.132955,0.164034,0.132273,0.132898,1.006591,0.164659,0.132955,0.164034,0.132273,0.132898,1.006591,0.164659,0.132955,0.164034,0.132273,0.132898,1.006591,0.164659,0.132955,0.164034,0.132273,0.132898,1.006591,0.164659,0.132955,0.164034,0.132273,0.132898
153600,1.001979,1.008229,0.159271,0.165156,0.127552,0.133802,1.006042,0.163958,0.132292,0.163385,0.131667,0.132240,1.006042,0.163958,0.132292,0.163385,0.131667,0.132240,1.006042,0.163958,0.132292,0.163385,0.131667,0.132240,1.006042,0.163958,0.132292,0.163385,0.131667,0.132240,1.006042,0.163958,0.132292,0.163385,0.131667,0.132240
166400,1.001827,1.007596,0.159038,0.164471,0.127356,0.133125,1.005577,0.163365,0.131731,0.162837,0.131154,0.131683,1.005577,0.163365,0.131731,0.162837,0.131154,0.131683,1.005577,0.163365,0.131731,0.162837,0.131154,0.131683,1.005577,0.163365,0.131731,0.162837,0.131154,0.131683,1.005577,0.163365,0.131731,0.162837,0.131154,0.131683
192000,1.001583,1.006583,0.158667,0.163375,0.127042,0.132042,1.004833,0.162417,0.130833,0.161958,0.130333,0.130792,1.004833,0.162417,0.130833,0.161958,0.130333,0.130792,1.004833,0.162417,0.130833,0.161958,0.130333,0.130792,1.004833,0.162417,0.130833,0.161958,0.130333,0.130792,1.004833,0.162417,0.130833,0.161958,0.130333,0.130792
204800,1.001484,1.006172,0.158750,0.162969,0.126914,0.131602,1.004531,0.162266,0.130469,0.161836,0.130000,0.130430,1.004531,0.162266,0.130469,0.161836,0.130000,0.130430,1.004531,0.162266,0.130469,0.161836,0.130000,0.130430,1.004531,0.162266,0.130469,0.161836,0.130000,0.130430,1.004531,0.162266,0.130469,0.161836,0.130000,0.130430
217600,1.001397,1.005809,0.158603,0.162574,0.126801,0.131213,1.004265,0.161912,0.130147,0.161507,0.129706,0.130110,1.004265,0.161912,0.130147,0.161507,0.129706,0.130110,1.004265,0.161912,0.130147,0.161507,0.129706,0.130110,1.004265,0.161912,0.130147,0.161507,0.129706,0.130110,1.004265,0.161912,0.130147,0.161507,0.129706,0.130110
230400,1.001319,1.005486,0.158472,0.162222,0.126701,0.130868,1.004028,0.161597,0.129861,0.161215,0.129444,0.129826,1.004028,0.161597,0.129861,0.161215,0.129444,0.129826,1.004028,0.161597,0.129861,0.161215,0.129444,0.129826,1.004028,0.161597,0.129861,0.161215,0.129444,0.129826,1.004028,0.161597,0.129861,0.161215,0.129444,0.129826
243200,1.001250,1.005197,0.158355,0.161908,0.126612,0.130559,1.003816,0.161316,0.129605,0.160954,0.129211,0.129572,1.003816,0.161316,0.129605,0.160954,0.129211,0.129572,1.003816,0.161316,0.129605,0.160954,0.129211,0.129572,1.003816,0.161316,0.129605,0.160954,0.129211,0.129572,1.003816,0.161316,0.129605,0.160954,0.129211,0.129572
256000,1.001187,1.004938,0.158250,0.161625,0.126531,0.130281,1.003625,0.161062,0.129375,0.160719,0.129000,0.129344,1.003625,0.161062,0.129375,0.160719,0.129000,0.129344,1.003625,0.161062,0.129375,0.160719,0.129000,0.129344,1.003625,0.161062,0.129375,0.160719,0.129000,0.129344,1.003625,0.161062,0.129375,0.160719,0.129000,0.129344
