Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
6000000,119.614887,120.715203,124.440406,126.397176,129.099151,125.944524,126.428236,130.376282,126.519987,130.486392
6500000,120.419049,121.626213,125.908715,127.594439,131.066019,127.525461,127.771099,132.139966,127.868368,132.055292
7000000,120.638333,121.851795,126.524515,128.448552,131.679061,128.111889,128.570175,132.941814,128.696235,133.005340
7500000,121.066416,122.363884,127.286823,129.021791,132.280928,128.772705,129.264149,133.436832,129.351972,133.517129
8000000,121.276227,122.445532,128.018054,129.531143,133.986541,129.405603,129.975332,134.429160,130.226452,134.479059
8500000,123.031140,124.907934,131.157337,132.428475,136.181621,131.599283,133.004010,137.245978,133.198138,137.258962
9000000,122.141426,124.751240,131.248409,132.119837,136.358610,131.873436,133.176513,137.480833,133.322067,137.545270
9500000,123.606591,125.449081,131.859873,133.196676,137.534608,133.021143,133.902044,138.549478,133.993016,138.765965
10000000,123.783765,125.554835,132.451189,133.330076,137.703655,133.223217,134.507642,138.769061,134.607944,138.751301
16000000,126.615687,128.433547,136.144899,137.608270,142.065452,137.212850,138.466017,143.627520,138.690323,143.471759
22000000,128.896850,131.704283,139.866916,140.942319,145.954518,141.157385,142.095091,147.459722,142.651339,147.384160
28000000,130.235785,133.004080,141.905206,142.662341,147.834598,142.774795,144.208622,149.876320,144.215144,149.476622
34000000,132.322899,136.358679,145.113128,146.142256,150.884989,146.235245,147.643337,153.200717,147.503291,153.102528
40000000,133.121400,136.953859,146.089277,146.788628,151.930657,147.093718,148.096349,154.474089,149.585611,154.496018
46000000,134.324630,138.166017,147.221729,148.117296,153.899847,148.808296,149.704751,156.252553,149.605847,156.189192
52000000,136.268935,139.458852,148.497336,149.844712,155.288773,150.565782,151.002159,158.268223,150.981233,158.220844
58000000,138.202542,140.824354,149.630558,151.225846,156.626683,152.442661,151.942911,159.892592,152.271751,159.702657
64000000,140.416040,143.065984,151.229558,154.276235,159.227043,155.299190,153.830562,162.289038,153.924413,161.890952
