Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
540000,66.410260,55.420350,60.866870,61.499880,51.996420,59.302380
580000,71.210000,56.581280,62.199070,67.369680,51.506290,59.252950
620000,75.750290,57.236620,63.044180,70.871930,52.287300,59.474270
660000,77.151180,58.864230,63.050660,74.880020,52.927340,63.381920
700000,80.818460,59.478090,64.043750,78.958010,54.322600,60.805780
740000,84.608160,60.903470,65.581040,83.375630,54.227530,61.268070
780000,86.518660,62.479960,66.970660,86.062650,58.231370,63.547050
820000,88.420120,64.701850,70.645510,89.245790,57.980780,64.758720
860000,90.780950,65.667470,70.601810,91.277420,59.353450,67.541450
900000,94.539110,67.108210,71.756010,94.114880,61.333420,66.761020
940000,95.533690,70.439570,74.360050,95.908070,63.050530,68.825840
980000,96.517580,70.564190,74.867830,98.182070,64.462830,71.119030
1000000,97.122610,72.483080,76.128240,98.882960,65.436190,71.314400
1500000,108.874030,91.783580,96.119040,114.626700,84.608170,91.182280
2000000,113.604800,102.558620,106.752510,123.899210,95.790340,101.718960
2500000,117.448620,110.590170,114.640560,127.701710,104.286470,110.147920
3000000,119.526300,115.186120,118.656660,133.017900,108.858340,114.358890
3500000,121.208530,118.201570,122.823450,139.237920,111.924660,118.038700
4000000,122.080220,120.945870,125.634770,137.894750,114.846670,120.332940
4500000,124.060800,125.182870,129.625740,141.890200,118.962760,125.261590
5000000,125.091820,125.974140,130.362060,142.135870,120.082260,127.033800
5500000,126.535660,127.311940,131.654450,143.711100,121.448060,127.749300
6000000,127.041790,128.492890,133.098180,144.888680,122.306090,129.341330
6500000,127.203850,129.818510,133.900850,143.761290,123.835680,130.688490
7000000,127.499310,130.832160,134.985500,145.711600,124.892740,131.503510
7500000,127.264810,131.274610,135.509320,152.624660,125.872220,133.719040
8000000,127.688240,132.190170,135.837450,150.851150,126.672840,135.250880
8500000,130.417060,135.715270,140.140540,152.476610,129.793540,138.675570
9000000,130.085890,136.516830,140.352700,155.528740,131.952170,139.787830
9500000,130.296010,136.849720,141.531640,153.635900,130.872410,142.095700
10000000,131.033340,137.063150,141.727060,157.366130,131.353370,142.853600
16000000,133.648260,141.740040,146.809070,156.559370,136.685730,156.985040
22000000,135.105950,146.064180,151.942420,164.669460,141.003540,168.340950
28000000,136.445320,148.651810,153.673910,170.300530,142.875640,175.567400
34000000,138.422610,151.867120,157.934630,178.401380,146.477540,186.419780
40000000,140.400370,153.058630,159.169750,177.310200,147.906430,188.323980
46000000,142.452870,154.249580,160.724380,179.404040,149.218210,190.586790
52000000,145.296590,155.909690,162.575080,182.337630,151.341130,192.666620
58000000,147.003550,157.816680,165.181120,185.743400,152.822250,195.055120
64000000,148.882920,159.825690,166.816590,184.551940,154.563030,197.059920
70000000,152.210130,163.680490,171.692800,191.907580,158.502460,204.820600
76000000,155.958620,166.132820,173.760770,194.728550,160.584810,205.560180
82000000,158.495700,167.407440,175.756170,192.532440,161.250140,205.745820
88000000,161.654570,170.061830,178.118210,200.901950,163.673980,210.352070
94000000,162.771380,172.502430,180.798550,198.793370,166.727420,214.182060
100000000,165.149520,171.768270,182.308480,201.409320,167.178330,211.554740
170000000,190.504710,190.925210,204.003020,232.130430,184.399960,231.335240
240000000,206.927100,199.702820,213.287620,253.259610,192.289140,245.209300
310000000,219.616540,205.742220,220.906950,271.821790,198.932410,258.977610
380000000,228.196740,209.408550,225.976770,279.651440,200.368970,264.835540
450000000,235.039960,212.980590,228.636010,297.537390,204.626860,273.806560
520000000,240.265820,214.598980,230.967570,300.946530,205.952210,275.063570
590000000,245.725970,218.162320,236.317470,318.612250,210.308410,283.566170
660000000,249.802610,221.776240,237.962730,325.799130,213.110260,291.249020
730000000,251.976440,224.509450,241.294020,337.209750,214.738190,290.155380
800000000,258.790490,227.385980,242.790980,336.539240,217.312460,296.159550
870000000,261.538180,231.779220,248.483260,341.275380,220.086690,297.836620
940000000,264.074400,233.747810,249.968570,342.685210,227.649550,331.127630
1000000000,264.891920,234.179410,250.228560,345.946410,221.658300,296.721150
1800000000,285.200200,257.165040,275.677630,387.535710,251.715880,329.423880
2600000000,297.655660,274.555100,297.003370,388.718820,259.483810,349.204730
3400000000,306.196550,280.358100,302.253440,408.116420,269.066850,357.325610
